Subject,Book Title,ISBN / Barcode
Operating Systems,Advanced Operating Systems,9785656207461
Object-Oriented Programming through Java,Fundamentals of Object-Oriented Programming through Java,9783328286592
Theory of Computation,Advanced Theory of Computation,9783666219733
Engineering Chemistry,Modern Engineering Chemistry,9783437310317
Digital Logic Design,Introduction to Digital Logic Design,9780079519788
Big Data Analytics,Advanced Big Data Analytics,9788017337227
Discrete Mathematical Structures,Concepts of Discrete Mathematical Structures,9781320495738
Management Science,Essentials of Management Science,9785257779107
Problem Solving through Programming,Modern Problem Solving through Programming,9787429178121
Computer Networks,Principles of Computer Networks,9789092224488
Technical English Communication,Concepts of Technical English Communication,9781433841231
Digital Logic Design,Practical Digital Logic Design,9789290660385
Digital Logic Design,Principles of Digital Logic Design,9785584611057
Management Science,Modern Management Science,9783912881028
Linear Algebra and Ordinary Differential Equations,Principles of Linear Algebra and Ordinary Differential Equations,9782375762554
Engineering Chemistry,Modern Engineering Chemistry,9782474544907
Data Structures,Introduction to Data Structures,9786333037609
Cryptography and Network Security,Practical Cryptography and Network Security,9787866868883
Data Structures,Fundamentals of Data Structures,9781398110762
Management Science,Handbook of Management Science,9786664538738
Operating Systems,Comprehensive Guide to Operating Systems,9781860602696
Numerical Methods,Concepts of Numerical Methods,9786449252651
Constitution of India,Introduction to Constitution of India,9786987703738
Problem Solving through Programming,Handbook of Problem Solving through Programming,9784028453208
Digital Logic Design,Essentials of Digital Logic Design,9788832833539
Web Technologies,Practical Web Technologies,9780499173836
Cloud Computing,Handbook of Cloud Computing,9782095528577
Operating Systems,Advanced Operating Systems,9783167370933
Digital Logic Design,Essentials of Digital Logic Design,9783845403588
Web Technologies,Introduction to Web Technologies,9783632998860
Object-Oriented Programming through Java,Practical Object-Oriented Programming through Java,9788310298409
Constitution of India,Fundamentals of Constitution of India,9781962673273
Design and Analysis of Algorithms,Comprehensive Guide to Design and Analysis of Algorithms,9785961339758
Engineering Chemistry,Essentials of Engineering Chemistry,9789164353412
Probability and Statistics,Essentials of Probability and Statistics,9784316786124
Compiler Design,Practical Compiler Design,9787772948679
Compiler Design,Modern Compiler Design,9786048518677
Probability and Statistics,Introduction to Probability and Statistics,9788077273343
Constitution of India,Introduction to Constitution of India,9788285522738
Technical English Communication,Modern Technical English Communication,9788318289690
Engineering Graphics,Essentials of Engineering Graphics,9789538701351
Big Data Analytics,Advanced Big Data Analytics,9788143892522
Constitution of India,Fundamentals of Constitution of India,9785055313190
Artificial Intelligence,Modern Artificial Intelligence,9783353525253
Data Mining,Concepts of Data Mining,9780331701517
Cryptography and Network Security,Handbook of Cryptography and Network Security,9782568620265
Technical English Communication,Essentials of Technical English Communication,9783312388011
Algebra,Fundamentals of Algebra,9781104677978
Cloud Computing,Advanced Cloud Computing,9782989816469
Big Data Analytics,Introduction to Big Data Analytics,9780448652184
Problem Solving through Programming,Practical Problem Solving through Programming,9780562139141
Design and Analysis of Algorithms,Principles of Design and Analysis of Algorithms,9789663771335
Semiconductor Physics and Electromagnetics,Principles of Semiconductor Physics and Electromagnetics,9786356703345
Data Mining,Practical Data Mining,9782672338186
Semiconductor Physics and Electromagnetics,Advanced Semiconductor Physics and Electromagnetics,9781917309288
Constitution of India,Comprehensive Guide to Constitution of India,9788075120793
Cloud Computing,Comprehensive Guide to Cloud Computing,9781061039079
Basics of Electrical and Electronics Engineering,Essentials of Basics of Electrical and Electronics Engineering,9786489333303
Data Structures,Modern Data Structures,9788804945550
Numerical Methods,Advanced Numerical Methods,9781205237934
Semiconductor Physics and Electromagnetics,Principles of Semiconductor Physics and Electromagnetics,9788375410495
Environmental Studies,Principles of Environmental Studies,9782841379507
Semiconductor Physics and Electromagnetics,Concepts of Semiconductor Physics and Electromagnetics,9780619539252
Probability and Statistics,Essentials of Probability and Statistics,9789362609670
Object-Oriented Programming through Java,Handbook of Object-Oriented Programming through Java,9785346694908
Discrete Mathematical Structures,Concepts of Discrete Mathematical Structures,9789379909503
Engineering Chemistry,Modern Engineering Chemistry,9787232055008
Big Data Analytics,Modern Big Data Analytics,9787543736238
Theory of Computation,Practical Theory of Computation,9782352218036
Compiler Design,Fundamentals of Compiler Design,9781997677345
Database Management Systems,Comprehensive Guide to Database Management Systems,9782608799654
Data Structures,Principles of Data Structures,9782994581239
Artificial Intelligence,Concepts of Artificial Intelligence,9785473300444
Compiler Design,Introduction to Compiler Design,9788796007427
Linear Algebra and Ordinary Differential Equations,Modern Linear Algebra and Ordinary Differential Equations,9788981856458
Technical English Communication,Essentials of Technical English Communication,9784287566879
Artificial Intelligence,Modern Artificial Intelligence,9785262454525
Discrete Mathematical Structures,Principles of Discrete Mathematical Structures,9787878137847
Computer Organization and Architecture,Principles of Computer Organization and Architecture,9785419094673
Data Structures,Principles of Data Structures,9781191088886
Environmental Studies,Comprehensive Guide to Environmental Studies,9786537550591
Software Engineering,Handbook of Software Engineering,9788218322374
Operating Systems,Practical Operating Systems,9787300905150
Environmental Studies,Comprehensive Guide to Environmental Studies,9782677662187
Problem Solving through Programming,Practical Problem Solving through Programming,9780876844854
Digital Logic Design,Principles of Digital Logic Design,9788359225688
Discrete Mathematical Structures,Comprehensive Guide to Discrete Mathematical Structures,9782482725756
Basics of Electrical and Electronics Engineering,Principles of Basics of Electrical and Electronics Engineering,9787904645025
Engineering Graphics,Modern Engineering Graphics,9785805364786
Database Management Systems,Advanced Database Management Systems,9781346786193
Constitution of India,Principles of Constitution of India,9784782857137
Engineering Graphics,Principles of Engineering Graphics,9781661141448
