Subject,Book Title,Author,ISBN / Barcode
Object-Oriented Programming through Java,Concepts of Object-Oriented Programming through Java,Tim Berners-Lee,9787657918186
Management Science,Practical Management Science,Bjarne Stroustrup,9784923288738
Data Structures,Introduction to Data Structures,Yashavant Kanetkar,9785153468846
Cryptography and Network Security,Advanced Cryptography and Network Security,H.K. Dass,9781217170762
Basics of Electrical and Electronics Engineering,Essentials of Basics of Electrical and Electronics Engineering,Abraham Silberschatz,9788071743699
Theory of Computation,Advanced Theory of Computation,Martin Fowler,9787829036441
Big Data Analytics,Modern Big Data Analytics,James F. Kurose,9783262018778
Environmental Studies,Handbook of Environmental Studies,E. Balagurusamy,9788306777215
Database Management Systems,Practical Database Management Systems,Ian Sommerville,9788298997479
Software Engineering,Handbook of Software Engineering,Mark Allen Weiss,9785097229657
Discrete Mathematical Structures,Principles of Discrete Mathematical Structures,Bruce Schneier,9783528893309
Basics of Electrical and Electronics Engineering,Essentials of Basics of Electrical and Electronics Engineering,Stuart Russell,9783785911600
Technical English Communication,Introduction to Technical English Communication,Thomas H. Cormen,9789309580550
Discrete Mathematical Structures,Essentials of Discrete Mathematical Structures,Keith W. Ross,9787171508993
Data Mining,Introduction to Data Mining,Bjarne Stroustrup,9781743073841
Big Data Analytics,Advanced Big Data Analytics,E. Balagurusamy,9786157763456
Constitution of India,Principles of Constitution of India,Tim Berners-Lee,9780148849501
Constitution of India,Practical Constitution of India,Bruce Schneier,9789026572852
Technical English Communication,Advanced Technical English Communication,Behrouz A. Forouzan,9780313214998
Data Mining,Handbook of Data Mining,Dennis Ritchie,9780833846662
Environmental Studies,Advanced Environmental Studies,Yashavant Kanetkar,9782414240838
Environmental Studies,Handbook of Environmental Studies,Tim Berners-Lee,9784407818512
Artificial Intelligence,Principles of Artificial Intelligence,Herbert Schildt,9787147764453
Technical English Communication,Concepts of Technical English Communication,Ken Thompson,9786570378909
Semiconductor Physics and Electromagnetics,Practical Semiconductor Physics and Electromagnetics,Dennis Ritchie,9783479101584
Digital Logic Design,Comprehensive Guide to Digital Logic Design,Mark Allen Weiss,9785126711825
Numerical Methods,Principles of Numerical Methods,Mark Allen Weiss,9780615401539
Technical English Communication,Fundamentals of Technical English Communication,Behrouz A. Forouzan,9781289948580
Management Science,Introduction to Management Science,Robert Lafore,9789689094418
Environmental Studies,Principles of Environmental Studies,Behrouz A. Forouzan,9789330018053
Cloud Computing,Handbook of Cloud Computing,Stuart Russell,9785333367730
Web Technologies,Comprehensive Guide to Web Technologies,E. Balagurusamy,9783673115547
Environmental Studies,Advanced Environmental Studies,Keith W. Ross,9788407731192
Constitution of India,Principles of Constitution of India,Donald E. Knuth,9780619495787
Cloud Computing,Modern Cloud Computing,H.K. Dass,9786814541052
Computer Networks,Principles of Computer Networks,Tim Berners-Lee,9780647022252
Data Mining,Essentials of Data Mining,Martin Fowler,9786330589194
Problem Solving through Programming,Modern Problem Solving through Programming,Ian Sommerville,9783927538870
Compiler Design,Fundamentals of Compiler Design,Ramez Elmasri,9786222089481
Theory of Computation,Practical Theory of Computation,Donald E. Knuth,9789681045029
Discrete Mathematical Structures,Concepts of Discrete Mathematical Structures,Bjarne Stroustrup,9788788421354
Technical English Communication,Concepts of Technical English Communication,Donald E. Knuth,9780874478419
Constitution of India,Essentials of Constitution of India,Robert Lafore,9784554057512
Theory of Computation,Introduction to Theory of Computation,Behrouz A. Forouzan,9785084771435
Management Science,Essentials of Management Science,Thomas H. Cormen,9780309892933
English Proficiency and Communication Skills,Principles of English Proficiency and Communication Skills,Ian Sommerville,9784881568750
English Proficiency and Communication Skills,Handbook of English Proficiency and Communication Skills,Robert Lafore,9786253594619
Big Data Analytics,Handbook of Big Data Analytics,Ian Sommerville,9789550379309
Cloud Computing,Fundamentals of Cloud Computing,Andrew S. Tanenbaum,9783550469015
Digital Logic Design,Modern Digital Logic Design,Yashavant Kanetkar,9785128394545
Engineering Graphics,Concepts of Engineering Graphics,Erwin Kreyszig,9784672745766
Engineering Graphics,Introduction to Engineering Graphics,Thomas H. Cormen,9781112390340
Numerical Methods,Practical Numerical Methods,Gilbert Strang,9780053392703
Cryptography and Network Security,Practical Cryptography and Network Security,Ramez Elmasri,9784370768890
Discrete Mathematical Structures,Principles of Discrete Mathematical Structures,Tom Mitchell,9784221358089
Algebra,Comprehensive Guide to Algebra,Behrouz A. Forouzan,9784433858261
Engineering Graphics,Fundamentals of Engineering Graphics,Robert Lafore,9787710219854
Big Data Analytics,Fundamentals of Big Data Analytics,Andrew S. Tanenbaum,9788999081590
Linear Algebra and Ordinary Differential Equations,Advanced Linear Algebra and Ordinary Differential Equations,James F. Kurose,9784554899846
